x_mm,y_mm,active,initial_dome_height_mm,height_mm,growth_thickness_mm,biomass,eps,active_sediment_mm,layer_id
0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
7.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
8.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
9.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
10.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
11.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
12.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
13.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
14.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
15.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
16.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
17.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
18.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
19.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
20.000000,0.000000,1.000000,0.000000,16.138146,15.788146,0.186983,0.184310,0.292074,9.000000
21.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
22.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
23.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
24.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
25.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
