x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
0.000000,0.000000,11.757554,0.182163,0.181566,0.291125,9.000000
1.000000,0.000000,11.772561,0.182178,0.181567,0.283403,9.000000
2.000000,0.000000,11.769213,0.081439,0.056910,0.075379,9.000000
3.000000,0.000000,11.769863,0.182174,0.181564,0.287479,8.000000
4.000000,0.000000,11.744528,0.182159,0.181564,0.292442,8.000000
5.000000,0.000000,11.721299,0.182156,0.181565,0.288848,9.000000
6.000000,0.000000,11.709898,0.182153,0.181564,0.280889,8.000000
7.000000,0.000000,11.706160,0.182152,0.181564,0.286769,8.000000
8.000000,0.000000,11.705232,0.182150,0.181562,0.287616,9.000000
9.000000,0.000000,11.706099,0.182149,0.181562,0.292555,8.000000
10.000000,0.000000,11.704797,0.182148,0.181562,0.286305,8.000000
11.000000,0.000000,11.704054,0.182149,0.181562,0.280660,8.000000
12.000000,0.000000,11.705620,0.182148,0.181561,0.288498,9.000000
13.000000,0.000000,11.706672,0.182147,0.181560,0.285569,8.000000
14.000000,0.000000,11.708352,0.182146,0.181559,0.281385,8.000000
15.000000,0.000000,11.708554,0.182146,0.181560,0.289309,8.000000
16.000000,0.000000,11.707126,0.182148,0.181561,0.285671,9.000000
17.000000,0.000000,11.707457,0.182151,0.181563,0.288183,9.000000
18.000000,0.000000,11.707683,0.182154,0.181566,0.279406,8.000000
19.000000,0.000000,11.707268,0.182157,0.181567,0.278398,9.000000
20.000000,0.000000,11.709563,0.182161,0.181569,0.290584,9.000000
21.000000,0.000000,11.711028,0.182156,0.181566,0.286682,8.000000
22.000000,0.000000,11.711699,0.182150,0.181562,0.286567,8.000000
23.000000,0.000000,11.715087,0.182158,0.181567,0.289940,8.000000
24.000000,0.000000,11.718166,0.182163,0.181570,0.283255,8.000000
25.000000,0.000000,11.723573,0.182168,0.181573,0.288368,9.000000
26.000000,0.000000,11.732209,0.182171,0.181574,0.288698,8.000000
27.000000,0.000000,11.748131,0.182176,0.181576,0.285712,9.000000
28.000000,0.000000,11.768548,0.182182,0.181576,0.289370,9.000000
29.000000,0.000000,11.776532,0.182193,0.181577,0.279979,8.000000
30.000000,0.000000,11.770901,0.182185,0.181577,0.290317,8.000000
31.000000,0.000000,11.753634,0.182183,0.181580,0.287172,8.000000
32.000000,0.000000,11.741657,0.182184,0.181582,0.291974,9.000000
33.000000,0.000000,11.737061,0.182185,0.181583,0.291244,8.000000
34.000000,0.000000,11.732230,0.182182,0.181581,0.287075,8.000000
35.000000,0.000000,11.729481,0.182179,0.181579,0.287069,8.000000
36.000000,0.000000,11.729034,0.182179,0.181579,0.286706,9.000000
37.000000,0.000000,11.727195,0.182175,0.181577,0.285358,9.000000
38.000000,0.000000,11.728254,0.182172,0.181574,0.282246,8.000000
39.000000,0.000000,11.726221,0.182173,0.181575,0.287071,8.000000
40.000000,0.000000,11.728086,0.182171,0.181574,0.289550,8.000000
0.000000,1.000000,11.743168,0.182160,0.181566,0.282767,8.000000
1.000000,1.000000,11.755577,0.182165,0.181566,0.285833,8.000000
2.000000,1.000000,11.760856,0.182175,0.181567,0.275233,9.000000
3.000000,1.000000,11.751701,0.182163,0.181565,0.284462,9.000000
4.000000,1.000000,11.730915,0.182156,0.181564,0.286336,8.000000
5.000000,1.000000,11.715829,0.182154,0.181564,0.285613,8.000000
6.000000,1.000000,11.708150,0.182153,0.181564,0.288425,8.000000
7.000000,1.000000,11.705441,0.182150,0.181562,0.282747,9.000000
8.000000,1.000000,11.706443,0.182148,0.181561,0.283651,8.000000
9.000000,1.000000,11.706473,0.182147,0.181561,0.289226,8.000000
10.000000,1.000000,11.703714,0.182147,0.181561,0.282254,8.000000
11.000000,1.000000,11.704598,0.182148,0.181561,0.284682,8.000000
12.000000,1.000000,11.708692,0.182148,0.181561,0.288271,8.000000
13.000000,1.000000,11.713060,0.182148,0.181560,0.283876,9.000000
14.000000,1.000000,11.714576,0.182148,0.181559,0.284133,8.000000
15.000000,1.000000,11.711756,0.182146,0.181559,0.287136,9.000000
16.000000,1.000000,11.709026,0.182147,0.181560,0.286174,8.000000
17.000000,1.000000,11.707580,0.182151,0.181563,0.282050,9.000000
18.000000,1.000000,11.708102,0.182154,0.181565,0.292548,9.000000
19.000000,1.000000,11.709133,0.182155,0.181565,0.288291,8.000000
20.000000,1.000000,11.709944,0.182158,0.181567,0.287388,9.000000
21.000000,1.000000,11.713141,0.182151,0.181562,0.283637,8.000000
22.000000,1.000000,11.714503,0.182139,0.181552,0.285716,8.000000
23.000000,1.000000,11.715180,0.182154,0.181564,0.284433,8.000000
24.000000,1.000000,11.717011,0.182163,0.181570,0.287225,8.000000
25.000000,1.000000,11.724080,0.182168,0.181573,0.292629,8.000000
26.000000,1.000000,11.731155,0.182170,0.181573,0.289395,9.000000
27.000000,1.000000,11.746224,0.182176,0.181575,0.285061,9.000000
28.000000,1.000000,11.764509,0.182190,0.181577,0.290956,8.000000
29.000000,1.000000,11.761518,0.081751,0.057521,0.080828,9.000000
30.000000,1.000000,11.768026,0.182191,0.181577,0.283508,8.000000
31.000000,1.000000,11.752275,0.182183,0.181579,0.282602,8.000000
32.000000,1.000000,11.740811,0.182182,0.181580,0.286267,9.000000
33.000000,1.000000,11.735154,0.182181,0.181580,0.286731,8.000000
34.000000,1.000000,11.730477,0.182179,0.181579,0.286063,9.000000
35.000000,1.000000,11.729906,0.182175,0.181576,0.280613,8.000000
36.000000,1.000000,11.729883,0.182173,0.181575,0.288744,8.000000
37.000000,1.000000,11.730604,0.182173,0.181575,0.285000,9.000000
38.000000,1.000000,11.732044,0.182173,0.181575,0.288049,8.000000
39.000000,1.000000,11.730161,0.182173,0.181575,0.285325,9.000000
40.000000,1.000000,11.728152,0.182173,0.181575,0.285084,9.000000
0.000000,2.000000,11.729961,0.182162,0.181569,0.287548,8.000000
1.000000,2.000000,11.735790,0.182163,0.181569,0.289614,8.000000
2.000000,2.000000,11.737640,0.182163,0.181567,0.281424,9.000000
3.000000,2.000000,11.732381,0.182159,0.181566,0.283797,8.000000
4.000000,2.000000,11.721325,0.182155,0.181565,0.282500,8.000000
5.000000,2.000000,11.711947,0.182153,0.181564,0.283096,8.000000
6.000000,2.000000,11.706804,0.182152,0.181564,0.277289,8.000000
7.000000,2.000000,11.706291,0.182150,0.181563,0.286319,9.000000
8.000000,2.000000,11.706250,0.182149,0.181562,0.284517,9.000000
9.000000,2.000000,11.706348,0.182147,0.181560,0.280795,9.000000
10.000000,2.000000,11.705817,0.182148,0.181561,0.287189,9.000000
11.000000,2.000000,11.707237,0.182149,0.181561,0.282310,9.000000
12.000000,2.000000,11.715190,0.182148,0.181560,0.284577,8.000000
13.000000,2.000000,11.721525,0.182152,0.181560,0.291305,9.000000
14.000000,2.000000,11.719635,0.182156,0.181559,0.279618,8.000000
15.000000,2.000000,11.718105,0.182149,0.181558,0.283148,9.000000
16.000000,2.000000,11.712252,0.182147,0.181559,0.283604,8.000000
17.000000,2.000000,11.708705,0.182151,0.181563,0.284062,9.000000
18.000000,2.000000,11.708340,0.182154,0.181565,0.288555,8.000000
19.000000,2.000000,11.708812,0.182156,0.181566,0.286647,9.000000
20.000000,2.000000,11.710831,0.182158,0.181567,0.288252,8.000000
21.000000,2.000000,11.714843,0.182157,0.181566,0.287621,9.000000
22.000000,2.000000,11.718322,0.182155,0.181564,0.288984,9.000000
23.000000,2.000000,11.720133,0.182162,0.181569,0.289280,8.000000
24.000000,2.000000,11.720201,0.182165,0.181571,0.282912,8.000000
25.000000,2.000000,11.722249,0.182169,0.181573,0.284164,9.000000
26.000000,2.000000,11.727327,0.182170,0.181573,0.282840,8.000000
27.000000,2.000000,11.739082,0.182173,0.181575,0.282116,8.000000
28.000000,2.000000,11.754895,0.182182,0.181577,0.284610,8.000000
29.000000,2.000000,11.762565,0.182192,0.181579,0.290079,8.000000
30.000000,2.000000,11.759130,0.182184,0.181578,0.288719,9.000000
31.000000,2.000000,11.746704,0.182183,0.181580,0.289804,8.000000
32.000000,2.000000,11.737650,0.182181,0.181580,0.288162,9.000000
33.000000,2.000000,11.733829,0.182178,0.181578,0.285675,8.000000
34.000000,2.000000,11.728931,0.182176,0.181577,0.287276,9.000000
35.000000,2.000000,11.727961,0.182173,0.181576,0.280995,9.000000
36.000000,2.000000,11.732674,0.182172,0.181574,0.284117,8.000000
37.000000,2.000000,11.739484,0.182171,0.181573,0.282816,8.000000
38.000000,2.000000,11.741861,0.182174,0.181574,0.287118,9.000000
39.000000,2.000000,11.738261,0.182172,0.181574,0.287217,9.000000
40.000000,2.000000,11.735277,0.182172,0.181575,0.287925,8.000000
0.000000,3.000000,11.726609,0.182164,0.181570,0.281913,9.000000
1.000000,3.000000,11.730280,0.182165,0.181571,0.278653,9.000000
2.000000,3.000000,11.730410,0.182165,0.181571,0.291018,8.000000
3.000000,3.000000,11.724820,0.182161,0.181568,0.287675,9.000000
4.000000,3.000000,11.718715,0.182157,0.181566,0.287471,8.000000
5.000000,3.000000,11.712137,0.182154,0.181564,0.280666,8.000000
6.000000,3.000000,11.708994,0.182152,0.181563,0.283398,8.000000
7.000000,3.000000,11.706409,0.182150,0.181562,0.282743,8.000000
8.000000,3.000000,11.705874,0.182149,0.181562,0.282372,9.000000
9.000000,3.000000,11.706921,0.182149,0.181562,0.286210,8.000000
10.000000,3.000000,11.707385,0.182149,0.181562,0.288625,8.000000
11.000000,3.000000,11.712756,0.182150,0.181562,0.291829,8.000000
12.000000,3.000000,11.720133,0.182150,0.181560,0.279204,8.000000
13.000000,3.000000,11.728476,0.182159,0.181560,0.293154,9.000000
14.000000,3.000000,11.716135,0.091000,0.072253,0.114741,8.000000
15.000000,3.000000,11.722693,0.182157,0.181560,0.282170,8.000000
16.000000,3.000000,11.714930,0.182150,0.181561,0.282112,9.000000
17.000000,3.000000,11.709052,0.182148,0.181561,0.286062,8.000000
18.000000,3.000000,11.708489,0.182150,0.181562,0.283120,8.000000
19.000000,3.000000,11.709907,0.182152,0.181563,0.282369,8.000000
20.000000,3.000000,11.713814,0.182156,0.181565,0.283775,8.000000
21.000000,3.000000,11.720693,0.182159,0.181566,0.286148,8.000000
22.000000,3.000000,11.726298,0.182163,0.181568,0.286675,8.000000
23.000000,3.000000,11.726555,0.182165,0.181570,0.282722,9.000000
24.000000,3.000000,11.724966,0.182166,0.181571,0.289060,8.000000
25.000000,3.000000,11.723394,0.182168,0.181572,0.285477,8.000000
26.000000,3.000000,11.725620,0.182170,0.181574,0.287372,8.000000
27.000000,3.000000,11.730104,0.182172,0.181575,0.278525,8.000000
28.000000,3.000000,11.740185,0.182175,0.181576,0.287039,8.000000
29.000000,3.000000,11.747432,0.182180,0.181578,0.285484,9.000000
30.000000,3.000000,11.744054,0.182180,0.181579,0.287060,8.000000
31.000000,3.000000,11.739996,0.182181,0.181580,0.289326,8.000000
32.000000,3.000000,11.735421,0.182180,0.181580,0.290248,9.000000
33.000000,3.000000,11.734350,0.182177,0.181578,0.293569,9.000000
34.000000,3.000000,11.731191,0.182173,0.181575,0.282432,8.000000
35.000000,3.000000,11.732704,0.182171,0.181573,0.287352,8.000000
36.000000,3.000000,11.739261,0.182170,0.181572,0.284338,8.000000
37.000000,3.000000,11.751227,0.182174,0.181573,0.286899,8.000000
38.000000,3.000000,11.753433,0.182183,0.181573,0.282741,8.000000
39.000000,3.000000,11.750713,0.182175,0.181573,0.280130,8.000000
40.000000,3.000000,11.743152,0.182174,0.181575,0.287482,9.000000
0.000000,4.000000,11.738161,0.182167,0.181570,0.279986,9.000000
1.000000,4.000000,11.737093,0.182169,0.181572,0.286973,8.000000
2.000000,4.000000,11.735219,0.182168,0.181572,0.289780,8.000000
3.000000,4.000000,11.729858,0.182164,0.181570,0.283905,9.000000
4.000000,4.000000,11.724853,0.182162,0.181568,0.287229,8.000000
5.000000,4.000000,11.718425,0.182159,0.181567,0.289150,9.000000
6.000000,4.000000,11.713274,0.182155,0.181565,0.285884,8.000000
7.000000,4.000000,11.710063,0.182152,0.181563,0.289629,8.000000
